"uid","namedLocation","date","eventID","domainID","siteID","plotID","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","recordType","individualID","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks","measuredBy","recordedBy","dataQF"
"4da34ca1-0186-4eaa-8729-695bf40b8929","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04995",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","","Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",NA
"c02589b3-0296-4927-9e36-0a04059eca82","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","4","61",6.3,224.1,NA,"NEON.PLA.D16.WREF.04961",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","taxon verified 2017, JZ","Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",NA
"f17c6378-123a-4bc2-b40b-de4b133a5138","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04891",NA,NA,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",NA,"",NA,"","","Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",NA
"f9555022-2ea9-4333-a44d-7b8c6aa92663","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04884",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",NA
"a65e35f4-5cb2-43a1-b130-6d47ee89613e","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04990",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",NA
"ec3e3fd6-a17e-4031-9c3d-919841d34c59","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04996",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","","Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",NA
"09e432ac-808d-414e-a08c-07a969a25f14","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04892",NA,NA,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",NA,"",NA,"","","Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",NA
"29877e4b-83d2-4a06-a872-11d85c0eafb4","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04897",NA,NA,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",NA,"",NA,"","","Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",NA
"ab5cf5a2-21e4-43e1-a7d3-fef8064efe65","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04991",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",NA
"b21774c9-2af7-4af8-9f07-edfb34a57c99","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",NA,NA,NA,NA,"NEON.PLA.D16.WREF.04993",NA,NA,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",NA,"",NA,"","","Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",NA
